plugin_id,name,kind,status,what_it_does,why_useful,local_first_fit,safety_status,source_url,review_status,upstream_state
pl-context7,Context7,mcp-server,candidate,"Injects live, version-specific library docs into the session",Stops the model guessing outdated APIs while you build the dashboard/RAG,partial - fetches docs over the network,needs_review,https://github.com/upstash/context7,needs_review,
pl-chrome-devtools,Chrome DevTools MCP,mcp-server,candidate,Drives + inspects a real Chrome for debugging,Real-browser verification of the dashboard UI,good - local browser,needs_review,https://github.com/ChromeDevTools/chrome-devtools-mcp,needs_review,
pl-playwright,Playwright MCP,mcp-server,candidate,Scriptable browser automation + E2E,Automate dashboard smoke/interaction tests,good - local browser,needs_review,https://github.com/microsoft/playwright-mcp,needs_review,
pl-github,GitHub MCP,mcp-server,candidate,Repo/PR/issue workflows from the agent,Manage releases/issues for this public repo,partial - GitHub API + token,needs_review - scope the token,https://github.com/github/github-mcp-server,needs_review,
pl-semgrep,Semgrep MCP,mcp-server,candidate,Static security analysis of code,Strong fit for this lab's security-first posture; scan before shipping,good - local scan,needs_review,https://github.com/semgrep/mcp,needs_review,
pl-postgres,Postgres MCP (reference servers),mcp-server,candidate,Query a local database,If the dashboard ever outgrows SQLite,good - local DB,needs_review - watch write scope,https://github.com/modelcontextprotocol/servers,needs_review,
pl-exa,Exa MCP,mcp-server,candidate,Web/neural search from the agent,Radar research without leaving the loop,no - external API + key,needs_review - API key + external calls,https://github.com/exa-labs/exa-mcp-server,needs_review,
pl-superpowers,Superpowers,plugin,watchlist,Structured TDD + sub-agent workflow scaffolding,Mirrors your builder+reviewer loop as a reusable plugin,good,needs_review,,needs_source_confirm,
pl-composio,Composio,plugin,watchlist,"Cross-app actions (Linear, Figma, GitHub, Sentry)","Powerful, but broad reach",no - broad cross-app external access,"HIGH review - broad permissions, external services",https://github.com/ComposioHQ/composio,needs_review,
pl-mcp-registry,MCP registry (discovery),reference,candidate,Directory of available MCP servers,Where to keep finding vetted servers,n/a - directory,needs_review,https://github.com/modelcontextprotocol/registry,needs_review,
