skill_id,name,category,status,where_used,marketable_as,why_valuable,level_up_payoff,effort,safety_notes,source_url,review_status
skill-cc-authoring,Claude Code skill authoring,AI tooling,using,Built the local-ai-lab-context skill in this repo,Custom AI tooling / skill engineering,Packaging repeatable expertise into reusable skills is exactly what teams pay agent engineers to do,Publish 2-3 polished skills as portfolio artifacts,low,Local; skills run in-repo. Review any skill before install.,https://docs.anthropic.com/en/docs/claude-code/skills,using
skill-agent-loops,Multi-agent loop orchestration,Agents,using,The Codex integrator loop that pilots/QCs/merges this whole project,Agent orchestration / AI workflow engineering,Orchestrating a builder+reviewer loop with gates is a top-demand 2026 skill,Write it up as a case study (pilot-and-verify pattern),medium,Keep approval gates on any model-executing or destructive step,,using
skill-local-rag,Local RAG engineering,RAG,using,The src/local_ai_lab RAG backbone (ingest->embed->hybrid retrieve->rerank->answer),RAG systems engineer,RAG is the most in-demand applied-LLM skill; you have a real local implementation,Run the v0.2 eval to get defensible recall/MRR numbers,medium,Local-first; loopback-only providers,,using
skill-llm-eval,LLM evaluation & benchmarking,Evaluation,using,The evals/local-llm-benchmark harness + rubric + 5 runners,LLM evaluation engineer,"Rigorous, honest eval (confirmed vs draft) is rare and highly marketable",Publish the methodology + a comparative writeup,medium,Approval-gated model execution,,using
skill-llm-judge,LLM-as-judge automated scoring,Evaluation,using,ai-lab bench judge (draft scoring against a rubric),Automated evaluation pipelines,Judge pipelines with human-confirm are a hot MLOps pattern,Quantify judge-vs-human bias from your own data,low,Drafts never overwrite confirmed; human confirms,,using
skill-agent-safety,Approval-gated agent safety design,Safety,using,Every destructive/model-run path in this repo is gated,AI safety / secure agent design,Safety-by-design is a differentiator recruiters notice,Write the threat model + gate design as an ADR-backed post,low,This IS the safety layer,,using
skill-mcp-authoring,MCP server authoring,AI tooling,candidate,Not yet — would expose the lab (bench/RAG) over MCP,MCP / tool integration engineer,MCP is becoming the enterprise interop standard in 2026,Build one MCP server that exposes ai-lab commands,medium,Loopback-only; gate any state-changing tool,https://modelcontextprotocol.io,needs_review
skill-finetune,Local fine-tuning (MLX / LoRA),Modeling,candidate,MLX fine-tune scaffold exists (v4) but unexercised,Model fine-tuning engineer,"Fine-tuning on Apple Silicon is a niche, hireable skill",Fine-tune one small model + measure lift on your eval,high,Local; large disk/compute use,,needs_review
skill-retrieval-tuning,Hybrid retrieval + reranker tuning,RAG,candidate,dense+BM25+RRF + cross-encoder exist; not yet tuned,Advanced retrieval engineer,Knowing WHEN hybrid/rerank helps separates seniors from juniors,Use v0.2 to prove dense-vs-hybrid-vs-rerank deltas,medium,Local,,needs_review
skill-agent-frameworks,Agent framework fluency (LangGraph / OpenAI Agents SDK),Agents,candidate,Your loops are hand-rolled; frameworks are portable,Agent frameworks engineer,Job posts name LangGraph/Agents SDK explicitly,Rebuild one loop in LangGraph as a comparison,medium,Review deps before adding,,needs_review
skill-prompt-opt,Prompt & eval optimization (DSPy-style),Evaluation,watchlist,Not yet,Prompt engineering / optimization,Systematic prompt optimization beats hand-tuning,Optimize the judge rubric prompt with DSPy,medium,Local,https://dspy.ai,needs_review
